refyear,birth_rate
1910,30.1
1915,29.5
1920,27.7
1925,25.1
1930,21.3
1935,18.7
1940,19.4
1945,20.4
1950,24.1
1952,25.1
1953,25.1
1954,25.3
1955,25
1956,25.2
1957,25.3
1958,24.5
1959,24.3
1960,23.7
1961,23.3
1962,22.4
1963,21.7
1964,21
1965,19.4
1966,18.4
1967,17.8
1968,17.5
1969,17.8
1970,18.4
1971,17.2
1972,15.6
1973,14.9
1974,14.9
1975,14.8
1976,14.8
1977,15.4
1978,15.3
1979,15.9
1980,15.9
1982,15.9
1983,15.5
1984,15.5
1985,15.8
1986,15.5
1987,15.7
1988,15.9
1989,16.2
1990,16.7
1991,16.2
1992,16
1993,15.7
1994,15.3
1995,14.8
1996,14.7
1997,14.5
1998,14.6
1999,14.5
2000,14.7
2001,14.1
2002,13.9
2003,14.1
2004,14
2005,14
2009,13.5
2010,13
2011,12.7
2012,12.6
2013,12.4
2014,12.5
2015,12.4
2016,12.2
2017,11.8
2018,11.6
