year,sex,name,count,births
1900,Female,Mary,16706,2290309
1900,Male,John,9829,2290309
1901,Female,Mary,13136,2335158
1901,Male,John,6900,2335158
1902,Female,Mary,14486,2382716
1902,Male,John,7907,2382716
1903,Female,Mary,14275,2426963
1903,Male,John,7608,2426963
1904,Female,Mary,14961,2473317
1904,Male,John,8108,2473317
1905,Female,Mary,16067,2522982
1905,Male,John,8060,2522982
1906,Female,Mary,16370,2572045
1906,Male,John,8265,2572045
1907,Female,Mary,17580,2619001
1907,Male,John,8983,2619001
1908,Female,Mary,18665,2670171
1908,Male,John,9342,2670171
1909,Female,Mary,19259,2723749
1909,Male,John,9591,2723749
1910,Female,Mary,22848,2781541
1910,Male,John,11450,2781541
1911,Female,Mary,24390,2768870
1911,Male,John,13446,2768870
1912,Female,Mary,32304,2812235
1912,Male,John,24587,2812235
1913,Female,Mary,36642,2867990
1913,Male,John,29329,2867990
1914,Female,Mary,45345,2923745
1914,Male,John,37948,2923745
1915,Female,Mary,58187,2966225
1915,Male,John,47576,2966225
1916,Female,Mary,61438,2824292
1916,Male,John,50043,2824292
1917,Female,Mary,64281,2860579
1917,Male,John,51853,2860579
1918,Female,Mary,67366,2858917
1918,Male,John,56558,2858917
1919,Female,Mary,65838,2894927
1919,Male,John,53528,2894927
1920,Female,Mary,70982,2948942
1920,Male,John,56913,2948942
1921,Female,Mary,73985,2724354
1921,Male,John,58217,2724354
1922,Female,Mary,72173,2762255
1922,Male,John,57277,2762255
1923,Female,Mary,71638,2809945
1923,Male,John,57470,2809945
1924,Female,Mary,73534,2864161
1924,Male,Robert,60801,2864161
1925,Female,Mary,70591,2907333
1925,Male,Robert,60897,2907333
1926,Female,Mary,67832,2500620
1926,Male,Robert,61130,2500620
1927,Female,Mary,70639,2535552
1927,Male,Robert,61669,2535552
1928,Female,Mary,66872,2566863
1928,Male,Robert,60699,2566863
1929,Female,Mary,63508,2593701
1929,Male,Robert,59798,2593701
1930,Female,Mary,64146,2621604
1930,Male,Robert,62149,2621604
1931,Female,Mary,60296,2319548
1931,Male,Robert,60508,2319548
1932,Female,Mary,59874,2334508
1932,Male,Robert,59266,2334508
1933,Female,Mary,55509,2348346
1933,Male,Robert,54218,2348346
1934,Female,Mary,56929,2363119
1934,Male,Robert,55829,2363119
1935,Female,Mary,55069,2379575
1935,Male,Robert,56524,2379575
1936,Female,Mary,54372,2484170
1936,Male,Robert,58492,2484170
1937,Female,Mary,55645,2499108
1937,Male,Robert,61835,2499108
1938,Female,Mary,56215,2518508
1938,Male,Robert,62268,2518508
1939,Female,Mary,54901,2539072
1939,Male,Robert,59645,2539072
1940,Female,Mary,56203,2563128
1940,Male,James,62473,2563128
1941,Female,Mary,58040,2721360
1941,Male,James,66736,2721360
1942,Female,Mary,63254,2751144
1942,Male,James,77176,2751144
1943,Female,Mary,66169,2789496
1943,Male,James,80261,2789496
1944,Female,Mary,62467,2823360
1944,Male,James,76951,2823360
1945,Female,Mary,59283,2854572
1945,Male,James,74449,2854572
1946,Female,Mary,67467,3407499
1946,Male,James,87436,3407499
1947,Female,Linda,99689,3473533
1947,Male,James,94757,3473533
1948,Female,Linda,96211,3533783
1948,Male,James,88584,3533783
1949,Female,Linda,91016,3595479
1949,Male,James,86857,3595479
1950,Female,Linda,80431,3669707
1950,Male,James,86224,3669707
1951,Female,Linda,73978,3887488
1951,Male,James,87261,3887488
1952,Female,Linda,67082,3954505
1952,Male,James,87063,3954505
1953,Female,Mary,64379,4020518
1953,Male,Robert,86256,4020518
1954,Female,Mary,68007,4124659
1954,Male,Michael,88528,4124659
1955,Female,Mary,63165,4148250
1955,Male,Michael,88327,4148250
1956,Female,Mary,61756,4256280
1956,Male,Michael,90656,4256280
1957,Female,Mary,61094,4351094
1957,Male,Michael,92704,4351094
1958,Female,Mary,55857,4284560
1958,Male,Michael,90517,4284560
1959,Female,Mary,54474,4321269
1959,Male,Michael,85251,4321269
1960,Female,Mary,51475,4281879
1960,Male,David,85929,4281879
1961,Female,Mary,47680,4279977
1961,Male,Michael,86917,4279977
1962,Female,Lisa,46078,4178495
1962,Male,Michael,85034,4178495
1963,Female,Lisa,56040,4106508
1963,Male,Michael,83782,4106508
1964,Female,Lisa,54275,4029690
1964,Male,Michael,82646,4029690
1965,Female,Lisa,60269,3769419
1965,Male,Michael,81021,3769419
1966,Female,Lisa,56914,3616703
1966,Male,Michael,79990,3616703
1967,Female,Lisa,52435,3537038
1967,Male,Michael,82436,3537038
1968,Female,Lisa,49532,3512425
1968,Male,Michael,82008,3512425
1969,Female,Lisa,45029,3607704
1969,Male,Michael,85203,3607704
1970,Female,Jennifer,46157,3772919
1970,Male,Michael,85302,3772919
1971,Female,Jennifer,56783,3571752
1971,Male,Michael,77594,3571752
1972,Female,Jennifer,63603,3274440
1972,Male,Michael,71405,3274440
1973,Female,Jennifer,62447,3157459
