year,sex,name,count
2000,Female,Emily,25956
2000,Male,Jacob,34477
2001,Female,Emily,25057
2001,Male,Jacob,32545
2002,Female,Emily,24464
2002,Male,Jacob,30574
2003,Female,Emily,25691
2003,Male,Jacob,29638
2004,Female,Emily,25037
2004,Male,Jacob,27881
2005,Female,Emily,23940
2005,Male,Jacob,25833
2006,Female,Emily,21404
2006,Male,Jacob,24845
2007,Female,Emily,19355
2007,Male,Jacob,24282
2008,Female,Emma,18813
2008,Male,Jacob,22594
2009,Female,Isabella,22306
2009,Male,Jacob,21175
2010,Female,Isabella,22913
2010,Male,Jacob,22127
2011,Female,Sophia,21842
2011,Male,Jacob,20371
2012,Female,Sophia,22313
2012,Male,Jacob,19074
2013,Female,Sophia,21223
2013,Male,Noah,18257
2014,Female,Emma,20936
2014,Male,Noah,19305
2015,Female,Emma,20455
2015,Male,Noah,19635
2016,Female,Emma,19496
2016,Male,Noah,19117
2017,Female,Emma,19800
2017,Male,Liam,18798
2018,Female,Emma,18688
2018,Male,Liam,19837
