year,FemaleName,FemaleCount,MaleName,MaleCount
2018,Emma,18688,Liam,19837
2017,Emma,19800,Liam,18798
2016,Emma,19496,Noah,19117
2015,Emma,20455,Noah,19635
2014,Emma,20936,Noah,19305
2013,Sophia,21223,Noah,18257
2012,Sophia,22313,Jacob,19074
2011,Sophia,21842,Jacob,20371
2010,Isabella,22913,Jacob,22127
2009,Isabella,22306,Jacob,21175
2008,Emma,18813,Jacob,22594
2007,Emily,19355,Jacob,24282
2006,Emily,21404,Jacob,24845
2005,Emily,23940,Jacob,25833
2004,Emily,25037,Jacob,27881
2003,Emily,25691,Jacob,29638
2002,Emily,24464,Jacob,30574
2001,Emily,25057,Jacob,32545
2000,Emily,25956,Jacob,34477
1999,Emily,26539,Jacob,35363
1998,Emily,26182,Michael,36615
1997,Emily,25732,Michael,37549
1996,Emily,25151,Michael,38364
1995,Jessica,27938,Michael,41402
1994,Jessica,32117,Michael,44469
1993,Jessica,34987,Michael,49549
1992,Ashley,38453,Michael,54392
1991,Ashley,43478,Michael,60785
1990,Jessica,46475,Michael,65290
1989,Jessica,47884,Michael,65389
1988,Jessica,51543,Michael,64143
1987,Jessica,55994,Michael,63655
1986,Jessica,52677,Michael,64208
1985,Jessica,48347,Michael,64912
1984,Jennifer,50559,Michael,67741
1983,Jennifer,54346,Michael,68000
1982,Jennifer,57117,Michael,68235
1981,Jennifer,57049,Michael,68763
1980,Jennifer,58375,Michael,68696
1979,Jennifer,56717,Michael,67739
1978,Jennifer,56321,Michael,67158
1977,Jennifer,58964,Michael,67616
1976,Jennifer,59474,Michael,66954
1975,Jennifer,58183,Michael,68454
1974,Jennifer,63114,Michael,67578
1973,Jennifer,62447,Michael,67847
1972,Jennifer,63603,Michael,71405
1971,Jennifer,56783,Michael,77594
1970,Jennifer,46157,Michael,85302
1969,Lisa,45029,Michael,85203
1968,Lisa,49532,Michael,82008
1967,Lisa,52435,Michael,82436
1966,Lisa,56914,Michael,79990
1965,Lisa,60269,Michael,81021
1964,Lisa,54275,Michael,82646
1963,Lisa,56040,Michael,83782
1962,Lisa,46078,Michael,85034
1961,Mary,47680,Michael,86917
1960,Mary,51475,David,85929
1959,Mary,54474,Michael,85251
1958,Mary,55857,Michael,90517
1957,Mary,61094,Michael,92704
1956,Mary,61756,Michael,90656
1955,Mary,63165,Michael,88327
1954,Mary,68007,Michael,88528
1953,Mary,64379,Robert,86256
1952,Linda,67082,James,87063
1951,Linda,73978,James,87261
1950,Linda,80431,James,86224
1949,Linda,91016,James,86857
1948,Linda,96211,James,88584
1947,Linda,99689,James,94757
1946,Mary,67467,James,87436
1945,Mary,59283,James,74449
1944,Mary,62467,James,76951
1943,Mary,66169,James,80261
1942,Mary,63254,James,77176
1941,Mary,58040,James,66736
1940,Mary,56203,James,62473
1939,Mary,54901,Robert,59645
1938,Mary,56215,Robert,62268
1937,Mary,55645,Robert,61835
1936,Mary,54372,Robert,58492
1935,Mary,55069,Robert,56524
1934,Mary,56929,Robert,55829
1933,Mary,55509,Robert,54218
1932,Mary,59874,Robert,59266
1931,Mary,60296,Robert,60508
1930,Mary,64146,Robert,62149
1929,Mary,63508,Robert,59798
1928,Mary,66872,Robert,60699
1927,Mary,70639,Robert,61669
1926,Mary,67832,Robert,61130
1925,Mary,70591,Robert,60897
1924,Mary,73534,Robert,60801
1923,Mary,71638,John,57470
1922,Mary,72173,John,57277
1921,Mary,73985,John,58217
1920,Mary,70982,John,56913
1919,Mary,65838,John,53528
1918,Mary,67366,John,56558
1917,Mary,64281,John,51853
1916,Mary,61438,John,50043
1915,Mary,58187,John,47576
1914,Mary,45345,John,37948
1913,Mary,36642,John,29329
1912,Mary,32304,John,24587
1911,Mary,24390,John,13446
1910,Mary,22848,John,11450
1909,Mary,19259,John,9591
1908,Mary,18665,John,9342
1907,Mary,17580,John,8983
1906,Mary,16370,John,8265
1905,Mary,16067,John,8060
1904,Mary,14961,John,8108
1903,Mary,14275,John,7608
1902,Mary,14486,John,7907
1901,Mary,13136,John,6900
1900,Mary,16706,John,9829
1899,Mary,13172,John,6990
1898,Mary,14406,John,8159
1897,Mary,13413,John,7550
1896,Mary,13811,John,8138
1895,Mary,13446,John,8320
1894,Mary,13151,John,8238
1893,Mary,12784,John,8049
1892,Mary,13172,John,9039
1891,Mary,11703,John,7680
1890,Mary,12078,John,8502
1889,Mary,11648,John,8548
1888,Mary,11754,John,9247
1887,Mary,9888,John,8110
1886,Mary,9889,John,9026
1885,Mary,9128,John,8756
1884,Mary,9217,John,9388
1883,Mary,8012,John,8894
1882,Mary,8148,John,9557
1881,Mary,6919,John,8769
1880,Mary,7065,John,9655
